word,ko,zh_Hans,etym_zh_Hans,pron,ant,syn
bolster,"북돋우다, 강화[개선]하다",支撑；加固；提高；改善,,/ˈbəʊlstə/,,
humility,겸손,谦逊，谦恭,,/hjʊˈmɪlɪti/,,
dyslexia,"난독증, 독서 장애",（因无法分清字形而造成的）读写障碍,,/dɪsˈlɛksɪə/,,
precursor,선도자(격인 사람·사물),先驱，先锋；先兆，前兆,,/prɪˈkəːsə/,,
canny,(특히 재계·정계에서) 약삭빠른[영리한],（尤指在生意或财务方面）精明的，机灵的,,/ˈkani/,,
decay,"부패, 부식",腐蚀；（使）衰败，（使）衰弱,,/dɪˈkeɪ/,,
jocund,"명랑한, 쾌활한",高兴的；快乐的；愉快的,,/ˈdʒɒk(ə)nd/,,
effulgent,"찬란히 빛나는, 눈부신",灿烂的;光辉的,记忆技巧：ef 出，外 + fulg 发光 + ent 具有…性质的 → 发出光 → 光辉灿烂的,/ɪˈfʌldʒ(ə)nt/,,
sustenance,"(음식·물 등) 생명을 건강하게 유지시켜 주는 것, 자양물",食物,,/ˈsʌst(ə)nəns/,,
abolish,(법률·제도·조직을) 폐지하다,废除，废止,,/əˈbɒlɪʃ/,,
incisive,(사물 인식 능력이) 예리한[날카로운],锐利的；深刻的,,/ɪnˈsʌɪsɪv/,,
lectern,"(책 등을 받치는) 독서대, (교회의) 성서대",斜面讲桌,,/ˈlɛkt(ə)n/,,
fatuity,"어리석음, 우둔",愚味;愚昧;昏庸;愚蠢,记忆技巧：fatu 笨 + ity 具备某种性质，状况 → 愚蠢，愚昧,/fəˈtjuːɪti/,,
fraternal,공제(共濟)의(사상·이해관계가 같은 개인·집단이 서로 돕기 위한 것),兄弟的，手足的,,/frəˈtəːn(ə)l/,,
reproof,"책망, 나무람",责备；斥责；指责,,/rɪˈpruːf/,,
bicentennial,"200년간 계속되는, 200년마다의",(庆典)二百周年的,,/bʌɪsɛnˈtɛnɪəl/,,
cum laude,우등으로(미국 대학 학위 취득자 우등 등급의 세 번째 등급),（拉丁语）以优等成绩毕业（美国大学优等学位荣誉中的第三等）,,,,
reprehend,"꾸짖다, 나무라다, 비난하다(blame)",责难;指责;谴责;责备;斥责,记忆技巧：re 反 + prehend 抓 → 反过来抓住〔别人的缺点〕→ 责难,/ˌrɛprɪˈhɛnd/,,
archaic,"낡은, 폐물이 된",古老的，古代的；原始的,,/ɑːˈkeɪɪk/,,
spartan,"검소하고 엄격한, 스파르타식의",简朴的，清苦的；斯巴达式的,,/ˈspɑːt(ə)n/,,
equidistant,등거리의,等距的,,/ˌiːkwɪˈdɪst(ə)nt/,,
antiseptic,소독제[약],防腐剂；（尤指）杀菌剂，消毒剂,,/antɪˈsɛptɪk/,,
disjointed,"연결이 안 되는, 일관성이 없는",（尤指词语或想法）不连贯的，没有条理的，杂乱无章的,,/dɪsˈdʒɔɪntɪd/,,
chasten,"잘못을 깨닫게 하다, 훈계하다",惩戒；磨炼；教训,,/ˈtʃeɪs(ə)n/,,
amoral,도덕관념이 없는,毫无道德观念的；没有道德的,,/eɪˈmɒr(ə)l/,,
inherent,내재하는,内在的；固有的，生来就有的,,/ɪnˈhɪər(ə)nt/,,
callow,"미숙한, 풋내기인",（尤指年轻人）幼稚的；不自信的；不谙世事的,,/ˈkaləʊ/,,
harbinger,(흔히 좋지 않은 일이 곧 일어날) 조짐,（尤指坏事的）先兆，预兆,,/ˈhɑːbɪn(d)ʒə/,,
curt,퉁명스러운,（态度或说话）简短失礼的，唐突的，草率的,,/kəːt/,,
dissect,(인체·동식물을) 해부[절개]하다,解剖（尤指尸体或植物）,,/dʌɪˈsɛkt/,,
descry,(불현듯) 보게 되다,突然看到;突然发现,,/dɪˈskrʌɪ/,,
abet,(나쁜 일을) 사주하다[교사하다],教唆，唆使，怂恿；伙同…作案,,/əˈbɛt/,,
askance,"의심[불신]의 눈으로; 옆으로, 비스듬히; 곁눈으로; 빗대어, 어물어물",怀疑地；侧目（斜视）地,,/əˈskans/,,
thesaurus,유의어 사전,同义词词典,,/θɪˈsɔːrəs/,,
pithy,간결하나 함축적인,（讲话或写作）言简意赅的，简洁有力的,,/ˈpɪθi/,,
bilateral,"쌍방의, 쌍무적인",双边的，双方的,,/bʌɪˈlat(ə)r(ə)l/,,
infallible,결코 틀리지[실수하지] 않는,不可能错误的；永无过失的；不会犯错误的,,/ɪnˈfalɪb(ə)l/,,
euthanasia,안락사,安乐死,,/ˌjuːθəˈneɪzɪə/,,
infusion,(어떤 것을 더 강하게·성공적이 되게 하기 위한) 투입,注入；灌输,,/ɪnˈfjuːʒ(ə)n/,,
harried,"몹시 곤란을 겪는, 어찌할 바를 모르는.",(不断)烦扰;折磨;反复进攻;不断袭击,,/ˈharɪd/,,
carom,(…에) 부딪쳐[맞고] 튀어나오다,撞击后弹开,,/ˈkarəm/,,
ingenuous,"순진한, 천진한, 사람을 잘 믿는",天真的；胸无城府的,,/ɪnˈdʒɛnjʊəs/,,
dichotomy,"양분(兩分), 이분(二分)",一分为二，对立,,/dʌɪˈkɒtəmi/,,
fey,"약간 특이한, 비현실적인 데가 있는",神秘古怪的；故弄玄虚的,,/feɪ/,,
turpitude,대단히 부도덕한 행위,邪恶；堕落,,/ˈtəːpɪtjuːd/,,
reclaim,(분실하거나 빼앗긴 물건 등을) 되찾다[돌려 달라고 하다],取回；拿回；收回,,/rɪˈkleɪm/,,
duress,"협박, 압력",威胁，胁迫,,/djʊ(ə)ˈrɛs/,,
vindicate,(특히 남들은 달리 생각할 때) …의 정당성을 입증하다,证明…正确；证明…是真的,,/ˈvɪndɪkeɪt/,,
rent,"집세, 방세, 지대, 임차료",租金；租费,,/rɛnt/,,
disconsolate,암담한,沮丧的，郁郁寡欢的,,/dɪsˈkɒns(ə)lət/,,
relax,(즐기는 일을 하면서) 휴식을 취하다[느긋이 쉬다],（使）放松，（使）轻松；（使身体部位）松弛，放松,,/rɪˈlaks/,,
preclude,"(~로 하여금 ~하지) 못하게 하다, (~가 ~하는 것을) 불가능하게 하다",排除，防止，杜绝；阻碍,,/prɪˈkluːd/,,
predilection,(…을) 매우 좋아함,偏爱，偏好,,/ˌpriːdɪˈlɛkʃ(ə)n/,,
idiom,"관용구, 숙어",习语，成语，惯用语,,/ˈɪdɪəm/,,
assuage,(안 좋은 감정을) 누그러뜨리다[달래다],缓和；减轻；平息,,/əˈsweɪdʒ/,,
extol,극찬[격찬]하다,赞扬；赞颂；赞美,,/ɪkˈstəʊl/,,
incognito,"자기 신분을 숨기고, 가명[익명]으로",隐姓埋名地，隐藏身分地,,/ˌɪnkɒɡˈniːtəʊ/,,
dissemble,"(진짜 감정·의도를) 숨기다, 가식적으로 꾸미다",掩盖，掩饰（动机、感情、真相等）,,/dɪˈsɛmb(ə)l/,,
slake,(물을 마셔) 갈증을 해소하다,满足,,/sleɪk/,,
acidulous,신맛이 나는,带酸味的,记忆技巧：acid 酸的 + ul〔= ule 小…〕+ ous …的 → 微酸的,/əˈsɪdʒʊləs/,,
chronic,만성적인,（尤指疾病或不好的事物）慢性的，长期的,,/ˈkrɒnɪk/,,
admonish,"꾸짖다, 책망하다",告诫；警告；责备,,/ədˈmɒnɪʃ/,,
agnostic,불가지론자,不可知论者（对神存在与否不能肯定或认为不可知）,,/aɡˈnɒstɪk/,,
sectarian,종파(宗派)의,（人）派系的，教派性的，（尤指）排斥其他信仰的；有门户之见的,,/sɛkˈtɛːrɪən/,,
chaste,(육체적으로) 순결한,纯洁的；贞洁的,,/tʃeɪst/,,
eon,,极长的时期；万古,,/ˈēən/,,
scion,(특히 명문가의) 자손,豪门望族的后裔，富家子弟,,/ˈsʌɪən/,,
auspice,"[보통 pl.] 원조, 찬조, 보호(patronage)",吉兆;（复数）支持；赞助；资助；主办；保护;（以飞鸟行动为根据的）占卜,记忆技巧：au〔= av 鸟〕+ spic 看 + e → 看到鸟〔喜鹊〕→ 吉兆,/ˈɔːspɪs/,,
duplicity,"이중성, 표리부동",欺骗；（尤指）搞两面派,,/djuːˈplɪsɪti/,,
ontology,존재론,本体论,,/ɒnˈtɒlədʒi/,,
certitude,확신,确定；确信,,/ˈsəːtɪtjuːd/,,
extrapolate,(…을 기반으로) 추론[추정]하다,推断；推知,,/ɪkˈstrapəleɪt/,,
perjury,위증죄,伪证罪,,/ˈpəːdʒ(ə)ri/,,
carousal,"흥청거림, 큰 술잔치[연회]",喧闹的酒宴,,/kəˈraʊz(ə)l/,,
sanguine,"낙관적인, 자신감이 넘치는",乐观的，乐天的,,/ˈsaŋɡwɪn/,,
consummate,(결혼식 후) 첫날밤을 치르다[성관계를 하다],完美无缺的；圆满的,,/ˈkɒns(j)əmeɪt/,,
mainstay,(무엇의 존재·성공을 가능하게 하는) 중심[대들보/기둥],支柱;中流砥柱,,/ˈmeɪnsteɪ/,,
conducive,~에 좋은(어떤 일이 일어나기 쉽게 한다는 의미로),有利的，有助的，有益的,,/kənˈdjuːsɪv/,,
aviation,항공(술),航空（学）；飞行（术）；航空工业,,/eɪvɪˈeɪʃ(ə)n/,,
bromide,브롬화물(과거엔 진정제로 쓰였음),溴化物镇静剂,,/ˈbrəʊmʌɪd/,,
dilate,"확장[팽창]하다[시키다], 키우다[커지다]",（使身体的一部分）扩张，展开,,/dʌɪˈleɪt/,,
accelerant,"촉진제, 촉매",催速（催化；加速；促进；促凝；触媒）剂,,/əkˈsɛlərənt/,,
mitigate,완화[경감]시키다,使缓和；减轻（危害等）,,/ˈmɪtɪɡeɪt/,,
magnanimous,(특히 적이나 경쟁자에게) 도량이 넓은[너그러운],（对敌人或失败者）宽宏大量的，大度的,,/maɡˈnanɪməs/,,
seminal,(앞으로 전개될 일에) 중대한[영향력이 큰],具有开拓性的；有深远影响的,,/ˈsɛmɪn(ə)l/,,
avid,(흔히 취미에) 열심인[열렬한],渴望的；急切的；热衷的；干劲十足的,记忆技巧：av 渴望 + id …的 → 渴望的；贪婪的,/ˈavɪd/,,
cadaver,"시체, 사체",尸体，死尸,,/kəˈdɑːvə/,,
tantamount,(나쁜 효과가) ~와 마찬가지의[~에 상당하는],无异于;等于;效果与…一样坏,,/ˈtantəmaʊnt/,,
heterodox,이설[이교]의,（信仰、想法或活动）非正统的，异端的,,/ˈhɛt(ə)rə(ʊ)dɒks/,,
leash,"(개 등을 매어 두는) 가죽끈[줄], 사슬",（牵狗等动物用的）绳索，链子,,/liːʃ/,,
insipid,맛[풍미]이 없는,无味的；无特色的；无生气的；乏味的,,/ɪnˈsɪpɪd/,,
bereave,(가족·친지와[를]) 사별하다[여의다],使丧失亲友,,/bɪˈriːv/,,
gregarious,"남과 어울리기 좋아하는, 사교적인",（人）爱交际的，不喜独处的,,/ɡrɪˈɡɛːrɪəs/,,
accede,(요청·제의 등에) 응하다,同意(请求、建议等);就任;就职;(尤指君主)即位,,/əkˈsiːd/,,
aggregate,"합계, 총액",聚集体，集成体；总数，合计,,/ˈaɡrɪɡət/,,
dauntless,불굴의,决然的；无畏的,,/ˈdɔːntləs/,,
prolix,장황한,冗长的；啰唆的；好长篇大论的,,/ˈprəʊlɪks/,,
plaintive,(소리가) 애처로운[구슬픈],伤感的,,/ˈpleɪntɪv/,,
undulating,"물결 모양의, 올라갔다 내려갔다 하는",起伏;波动;荡漾,,/ˈʌndjʊleɪtɪŋ/,,
decelerate,(차량의) 속도를 줄이다,（使）降低速度；（使）减速,,/diːˈsɛləreɪt/,,
prescient,선견지명[예지력]이 있는,预知的，有预知能力的，有先见之明的,,/ˈprɛsɪənt/,,
antibody,항체,抗体,,/ˈantɪbɒdi/,,
objurgate,"꾸짖다, 책망하다, 비난하다",怒斥;痛骂;谴责;申斥,,/ˈɒbdʒəɡeɪt/,,
zealot,"(특히 종교·정치에) 열성적인 사람, 열성분자, 광신자",狂热者；热心者,,/ˈzɛlət/,,
adjudicate,"(분쟁에 대해) 판결[판정]을 내리다, 재결하다",担任裁判；判决，裁定，裁决,,/əˈdʒuːdɪkeɪt/,,
dolor,"슬픔, 비탄(grief)",疼痛;悲伤;痛苦悲伤;悲哀,,/ˈdōlər/,,
indolent,"게으른, 나태한",懒散的；懒惰的,,/ˈɪnd(ə)l(ə)nt/,,
circuitous,빙 돌아가는,迂回的，绕行的,,/səːˈkjuːɪtəs/,,
propitiator,달래는 사람 ; 화해시키는 사람.,为和解的;为赢回好感的;安抚的,,/prəˈpɪʃɪeɪtə/,,
reprobate,타락한 사람,堕落者；放荡者；恶棍,,/ˈrɛprəbeɪt/,,
espouse,(주의·정책 등을) 옹호[지지]하다,投身（活动）；支持，拥护（观点）,,/ɪˈspaʊz/,,
salutary,"(흔히 불쾌해 보이지만) 유익한, 효과가 좋은",（对行为或性格的改善）有益的,,/ˈsaljʊt(ə)ri/,,
flippant,"경솔한, 건방진",轻率的；浮夸的,,/ˈflɪp(ə)nt/,,
antecede,"…에 선행하다, 앞서다",在…之前；居…之先；胜过；超越,,/antɪˈsiːd/,,
temper,(걸핏하면 화를 내는) 성질[성미],脾气；易怒,,/ˈtɛmpə/,,
cursory,"대충 하는, 피상적인",仓促的；草草的；粗略的,,/ˈkəːs(ə)ri/,,
ablution,목욕 (재계),沐浴；净体（礼）；净手（礼）,,/əˈbluːʃ(ə)n/,,
intrastate,주(州)내의,在一州境内(尤指美国的州内),,,,
deride,조롱[조소]하다,嘲笑，讥笑,,/dɪˈrʌɪd/,,
aquamarine,"아쿠아마린, 남옥(藍玉)",海蓝宝石,,/ˌakwəməˈriːn/,,
accretion,(서서히 막처럼 생기는) 부착물,堆积，积聚；逐渐的增加，增大,,/əˈkriːʃ(ə)n/,,
dissonant,"귀에 거슬리는, [음악] 불협화(음)의; 조화되지 않은(opp. harmonious)",刺耳的；不谐和的；不调和的,记忆技巧：dis 不 + son 声音 + ant …的 → 不同的声音 → 不和谐的,/ˈdɪs(ə)nənt/,,
rift,(사람들 사이의) 균열[틈],（地面或岩石上的）裂缝，裂口,,/rɪft/,,
sententious,"무게를 잡는, 훈계조의",好说教的；说教式的；自以为是的,,/sɛnˈtɛnʃəs/,,
decamp,(흔히 몰래) 서둘러 떠나다,不辞而别，偷偷溜走,,/dɪˈkamp/,,
iniquity,부당성; 부당한 것,极其错误；极不公正,,/ɪˈnɪkwɪti/,,
abate,(강도가) 약해지다; (강도를) 약화시키다[줄이다],减少；减弱；减轻；减退,,/əˈbeɪt/,,
protagonist,(연극·영화·책 속의) 주인공,（某一想法或政治制度的）主要支持者，主要拥护者,,/prəˈtaɡ(ə)nɪst/,,
incubate,(알을) 품다,孵（卵），孵化,,/ˈɪŋkjʊbeɪt/,,
donate,(특히 자선단체에) 기부[기증]하다,捐赠，捐助，捐献,,/də(ʊ)ˈneɪt/,,
fetid,악취가 진동하는,恶臭的；腐臭的,,/ˈfɛtɪd/,,
antagonism,"적의, 적대감",对抗，对立；敌对；敌意,,/anˈtaɡ(ə)nɪz(ə)m/,,
jurisprudence,법학,法学；法律学,,/ˌdʒʊərɪsˈpruːd(ə)ns/,,
holograph,자필문,全息图的,,/ˈhɒləɡrɑːf/,,
affirm,단언하다,证实；确认；断言,,/əˈfəːm/,,
allude,"암시하다, 시사(示唆)하다, 넌지시 말하다 ((to)) ((직접 언급할 때는 refer, mention을 씀; ⇒ refer [유의어/] ))",影射，暗指；间接提到,,/əˈl(j)uːd/,,
vortex,(물·공기 등의) 소용돌이,漩涡；涡流,,/ˈvɔːtɛks/,,
delineate,(상세하게) 기술하다[그리다/설명하다],描述；勾画,,/dɪˈlɪnɪeɪt/,,
foible,(별로 해롭지 않은) 기벽[약점],（无伤大雅的）怪癖，小毛病，小缺点,,/ˈfɔɪb(ə)l/,,
opulent,호화로운,奢华的，豪华的，奢侈的,,/ˈɒpjʊl(ə)nt/,,
perambulator,(바퀴 하나에 기다란 손잡이가 달린) 거리 측정계,手推童车，婴儿车（pram的正式说法）,,/pəˈrambjʊleɪtə/,,
simulate,"…한 체[척]하다, 가장하다",类比，模仿；假装，伪装,,/ˈsɪmjʊleɪt/,,
compunction,"죄책감, 거리낌",良心的不安；内疚；自责；后悔,,/kəmˈpʌŋkʃ(ə)n/,,
demise,(기관·사상·기업 등의) 종말,终止;失败;倒闭;死亡;逝世;一命呜呼,,/dɪˈmʌɪz/,,
tenet,"주의(主義), 교리(敎理)",信条；宗旨；原则,,/ˈtɛnɪt/,,
deign,치사스럽지만[자기 격에 떨어지지만] 한다는 듯이 굴다,原则;信条;教义,,/deɪn/,,
sorority,(미국 대학의) 여학생 클럽,（美国某些大学的）女生联谊会，姊妹会,,/səˈrɒrɪti/,,
dulcet,(소리가) 감미로운,柔和动听的，轻柔悦耳的,,/ˈdʌlsɪt/,,
vituperation,혹평,辱骂;斥责;责骂,,/vɪˌtjuːpəˈreɪʃ(ə)n/,,
malignant,악성의,（疾病或肿块）恶性的，致命的,,/məˈlɪɡnənt/,,
incantation,(마술을 걸기 위한) 주문[주문을 외기],咒语；念咒,,/ɪnkanˈteɪʃ(ə)n/,,
disclose,(특히 비밀이던 것을) 밝히다[폭로하다],公开，公布；透露，揭露,,/dɪsˈkləʊz/,,
enumerate,열거하다,列举，枚举,,/ɪˈnjuːməreɪt/,,
interdict,(법원의) 금지 명령,（法庭发出的）强制令；禁令,,/ˈɪntədɪkt/,,
regress,퇴행[퇴보/회귀]하다,退步；退化；倒退,,/rɪˈɡrɛs/,,
dyspepsia,소화 불량,消化不良,,/dɪsˈpɛpsɪə/,,
elegy,"애가, 비가",（尤指怀念故人或往事的）挽歌；挽诗；哀歌,,/ˈɛlɪdʒi/,,
coherent,"일관성 있는, 논리[조리] 정연한",（论据、观点、计划）有条理的，连贯的，前后一致的,,/kə(ʊ)ˈhɪər(ə)nt/,,
inexorable,"멈출[변경할] 수 없는, 거침없는",不可阻拦的,,/ɪnˈɛks(ə)rəb(ə)l/,,
fortnight,2주일(간),两星期，两周,,/ˈfɔːtnʌɪt/,,
ensue,(어떤 일·결과가) 뒤따르다,（尤指作为结果而）接着发生，继而发生，因而产生,,/ɪnˈsjuː/,,
inimical,~에 해로운[반하는/불리한],有害的；不利的；限制性的,,/ɪˈnɪmɪk(ə)l/,,
undermine,(특히 자신감·권위 등을) 약화시키다,（常指逐渐地）削弱信心、权威等，损害,,/ʌndəˈmʌɪn/,,
inflect,(단어·언어가) 굴절하다[어미·어형 변화를 하다],（使）（词）发生屈折变化,,/ɪnˈflɛkt/,,
presage,(보통 불길한 일의) 전조가 되다,预示，预兆（尤指不祥之事）,,/ˈprɛsɪdʒ/,,
hone,(특히 기술을) 연마하다,使…变锋利；把…磨尖,,/həʊn/,,
libertine,난봉꾼,放荡鬼，浪荡子,,/ˈlɪbətiːn/,,
satiate,"(식욕·성욕 등을) 실컷 만족시키다, 물릴[질릴] 정도로 주다",（尤指饮食或享乐）使饱足，使厌腻,,/ˈseɪʃɪeɪt/,,
epigram,경구(警句); 짧은 풍자시,诙谐短诗；警句；隽语,,/ˈɛpɪɡram/,,
tirade,"장황한 비난, 장광설",长篇抨击性演说,,/tʌɪˈreɪd/,,
gaucherie,"어색함, 서투름",（法语）拙劣；笨拙,,/ˈɡəʊʃ(ə)ri/,,
forthright,솔직 담백한,（过于）坦诚的，直率的；直截了当的,,/ˈfɔːθrʌɪt/,,
interregnum,(국가·조직 등에서 신임 지도자가 취임하기 전의) 최고 지도자 부재 기간,（国家或组织的）权力空白期，空位期,,/ˌɪntəˈrɛɡnəm/,,
discord,"불화, 다툼",看法不一致，缺乏共识,,/ˈdɪskɔːd/,,
deleterious,"해로운, 유해한",有害的，造成危害的,,/ˌdɛlɪˈtɪərɪəs/,,
philanthropic,"인정 많은, 인자한; 박애(주의)의, 동포애의",慈善的；乐善好施的（尤指透过捐款帮助穷人）,,/ˌfɪlənˈθrɒpɪk/,,
erratic,"불규칙한, 일정치 않은, 변덕스러운",（动作、行为等）不规则的，不确定的，无计划的,,/ɪˈratɪk/,,
chide,"꾸짖다, 책망하다",责骂，呵斥，训斥,,/tʃʌɪd/,,
cardiac,심장(병)의,心脏的；心脏病的,,/ˈkɑːdɪak/,,
hypochondriac,심기증 환자,疑病患者,记忆技巧：hypo 下，低；次等 + chondr 软骨 + iac 有…病的 → 患疑病症的,/hʌɪpə(ʊ)ˈkɒndrɪak/,,
turbid,"탁한, 흐린",（液体）浑浊的，污浊的,,/ˈtəːbɪd/,,
abrupt,"돌연한, 갑작스런",突然的；意外的,,/əˈbrʌpt/,,
peripatetic,(특히 일을 하러) 이동해 다니는,（通常指因工作而）巡回的，流动的；漫游的,,/ˌpɛrɪpəˈtɛtɪk/,,
infatuated,(사랑하는 대상에게) 미쳐 있는[푹 빠진],（通常短期）热恋的，着迷的,,/ɪnˈfatʃuːeɪtɪd/,,
limpid,맑은,清澈的，透明的,,/ˈlɪmpɪd/,,
prevaricate,얼버무리다,支吾，搪塞，含糊其词；顾左右而言他,,/prɪˈvarɪkeɪt/,,
trite,진부한; 독창적이지 못한,陈腐的；老一套的,,/trʌɪt/,,
vituperate,"호통치다, 욕설하다; 혹평하다",责骂;谩骂;痛斥,记忆技巧：vituper 责备 + ate 表动词 → 严厉责备,/vɪˈtjuːpəreɪt/,,
genuflect,무릎을 꿇다(경의를 표하거나 예배를 드리기 위해 한 쪽 또는 양 쪽 무릎을 꿇는 것),（尤指进出天主教教堂时）下跪，跪拜,,/ˈdʒɛnjʊflɛkt/,,
abdicate,"왕위에서 물러나다, 퇴위하다",逊位；退（位），让（位），正式放弃（王位）,,/ˈabdɪkeɪt/,,
dissuade,(~을 하지 않도록) ~를 설득[만류]하다,劝说…不做某事，劝阻,,/dɪˈsweɪd/,,
fealty,(특히 왕에 대한) 충성 서약,（对国王或女王）忠诚的，忠心耿耿的,,/ˈfiːəlti/,,
putative,"(…로) 추정되는, 추정상의",假定存在的，被认为存在的,,/ˈpjuːtətɪv/,,
decadent,"타락한, 퇴폐적인",（人或组织）腐朽的；颓废的；堕落的,,/ˈdɛkəd(ə)nt/,,
gainsay,"부정하다, 반대하다",否认；反驳；反对,,/ɡeɪnˈseɪ/,,
slothful,나태한,懒惰的，懒散的,,/ˈsləʊθfʊl/,,
stultify,바보처럼 보이게 하다,使迟钝;使厌烦;使呆滞,,/ˈstʌltɪfʌɪ/,,
bibliography,참고문헌 (목록),参考书目，文献目录,,/ˌbɪblɪˈɒɡrəfi/,,
criterion,(판단이나 결정을 위한) 기준,（作出评判、决定或处理的）标准，准则,,/krʌɪˈtɪərɪən/,,
opulently,부유하게; 풍부하게,富裕地;丰裕地,,/ˈɒpjʊl(ə)ntli/,,
disdain,"업신여김, 무시",轻视，蔑视，鄙视,,/dɪsˈdeɪn/,,
obsolescent,"<말·습관 등이> 쇠퇴해 가는, 사용되지 않게 되는; <기계 등이> 구식의",在逐步废弃的；即将淘汰的；逐渐过时的,,/ˌɒbsəˈlɛs(ə)nt/,,
asperity,"(말투나 태도가) 거침, 가혹함",（言语、举止的）严厉，粗暴,,/əˈspɛrɪti/,,
perplexing,"난처[당황]하게 하는; 착잡한, 복잡한",令人不解的;不知道如何处置的,,/pəˈplɛksɪŋ/,,
appraise,"살피다, 뜯어보다",评定；鉴定；估价；评价,,/əˈpreɪz/,,
naive,"(경험·지식 부족 등으로) 순진해 빠진, (모자랄 정도로) 순진한",轻信的；天真的；幼稚的,,/nʌɪˈiːv/,,
compendious,모든 필요한 내용[사실들]을 담은,简明扼要的;概括的,,/kəmˈpɛndɪəs/,,
debauchery,방탕,道德败坏；淫荡；沉湎酒色（或毒品）,,/dɪˈbɔːtʃ(ə)ri/,,
diatribe,(말이나 글로 된 통렬한) 비판[공격],怒斥，抨击；檄文,,/ˈdʌɪətrʌɪb/,,
galvanize,충격 요법을 쓰다,激起；使震惊；使振奋,,/ˈɡalvənʌɪz/,,
insinuate,(불쾌한 일을) 암시하다[넌지시 말하다],含沙射影地说，影射,,/ɪnˈsɪnjʊeɪt/,,
misanthrope,사람을 싫어하는 사람,厌恶人类者；遁世者,,/ˈmɪz(ə)nθrəʊp/,,
incorporation,"[법] 법인격 부여, 법인[[미] 회사] 설립; [C] 결사, 법인 단체, 회사(corporation)",法人；社团；公司；结合，合并；（国际法）并入说；〈美〉并入理论,,/ɪnkɔːpəˈreɪʃ(ə)n/,,
nimble,"(동작이) 빠른, 날렵한",（行动）灵活的，敏捷的；（头脑）机敏的，敏锐的,,/ˈnɪmb(ə)l/,,
inculpate,죄를 씌우다; 비난하다; 연루(連累)시키다,控告，连累（某人）受罪，归罪于;连累（某人）；牵连（进某一犯罪或非法行为中）,记忆技巧：in 使… + culp 错，罪 + ate 使… → 使〔别人〕有罪 → 归罪,/ˈɪnkʌlpeɪt/,,
nascent,"발생기의, 초기의",新生的，萌芽的；开始发展的,,/ˈnas(ə)nt/,,
ratify,비준[재가]하다,（尤指政府或组织）正式批准，使正式生效，正式签署,,/ˈratɪfʌɪ/,,
injunction,(법원의) 명령,禁令,,/ɪnˈdʒʌŋ(k)ʃ(ə)n/,,
progenitor,(사람·동식물의) 조상,先驱，前辈,,/prə(ʊ)ˈdʒɛnɪtə/,,
cacophony,불협화음,刺耳嘈杂的声音；杂音,,/kəˈkɒf(ə)ni/,,
baleful,"악의적인, 해로운",恶毒的；威胁的,,/ˈbeɪlfʊl/,,
intractable,아주 다루기 힘든,难驾驭的；难对付的；难解决的,,/ɪnˈtraktəb(ə)l/,,
implication,(행동·결정이 초래할 수 있는) 영향[결과],含意；暗指，暗示,,/ɪmplɪˈkeɪʃ(ə)n/,,
jocular,"익살스러운, 유머러스한",有趣的；逗乐的,,/ˈdʒɒkjʊlə/,,
emulate,(흠모하는 대상을) 모방하다[따라 가다],效仿，模仿；和…竞争，努力赶上,,/ˈɛmjʊleɪt/,,
commensurate,(크기·중요도·자질 등에) 어울리는[상응하는],相当的，相称的,,/kəˈmɛnʃ(ə)rət/,,
humble,겸손한,谦虚的，谦逊的,,/ˈhʌmb(ə)l/,,
anomaly,"변칙, 이례",异常的人（或事物）；不规则；（同一种类中的）畸形,,/əˈnɒm(ə)li/,,
cent,센트(100분의 1달러나 유로),美分；分币,,/sɛnt/,,
bursary,(보통 대학의) 학비 보조금[장학금],奖学金,,/ˈbəːsəri/,,
endorse,(공개적으로) 지지하다,（公开）赞同，认可，支持,,/ɪnˈdɔːs/,,
antonym,반의어,反义词,,/ˈantənɪm/,,
release,"(갇히거나 구속되어 있는 상태에서) 풀어 주다, 석방[해방]하다",释放，放走；放开，松开,,/rɪˈliːs/,,
erudite,"학식 있는, 박식한",博学的；有学问的；博大精深的,,/ˈɛrʊdʌɪt/,,
degrade,비하[모멸]하다,贬低；降低…的身份；侮辱…的人格,,/dɪˈɡreɪd/,,
grandiloquent,말을 거창하게 하는,（尤指为了使某人或者某物显得重要而）卖弄词藻的，言辞浮夸的，过分华丽的,,/ɡranˈdɪləkwənt/,,
circumspect,신중한,小心的；谨慎的；审慎的,,/ˈsəːkəmspɛkt/,,
venerate,공경[숭배]하다,敬重;崇敬;敬仰,,/ˈvɛnəreɪt/,,
culpable,"과실이 있는, 비난받을 만한",应受谴责的；该受处罚的；该对错误负责的,,/ˈkʌlpəb(ə)l/,,
laconic,"말을 많이 하지 않는, 할 말만 하는",（语言）简洁的，言简意赅的,,/ləˈkɒnɪk/,,
obdurate,고집 센,顽固的；执拗的,,/ˈɒbdjʊrət/,,
loathing,"혐오(감), 증오(심)",憎恨，憎恶,,/ˈləʊðɪŋ/,,
amatory,"성욕의, 성적인",性爱的；情爱的,,/ˈamət(ə)ri/,,
eugenics,우생학,优生学；人种改良学,,/juːˈdʒɛnɪks/,,
effigy,조상(彫像),（尤指被憎恨人的）模拟像，雕像；画像：,,/ˈɛfɪdʒi/,,
rapacious,탐욕스러운,巧取豪夺的，贪婪的，掠夺的,,/rəˈpeɪʃəs/,,
