word,ko,zh_Hans,etym_zh_Hans,pron,ant,syn,etym,en,pof,example,pof_ko,example_ko,word2,syn_n,syn_v,syn_a,ant2
intersperse,(…속에·사이에) 배치하다,无规律地混入；散布；点缀,,/ɪntəˈspəːs/,,"distribute, disperse, spread, strew, dot, sprinkle, pepper, litter","From Latin interspersus.
","If you intersperse one group of things with another or among another, you put or include the second things between or among the first things.",[VERB],Originally the intention was to intersperse the historical scenes with modern ones.,[동사],Lectures will be interspersed with practical demonstrations.,intersperse,,"distribute, interpolate, pepper, scatter, sprinkle  strew",,
teeter,(넘어질 듯이) 불안정하게 서다[움직이다],摇晃，摇摇欲坠；蹒跚行走,,/ˈtiːtə/,,"walk unsteadily, wobble, toddle","Alteration of titter.
",Teeter is used in expressions such as teeter on the brink and teeter on the edge to emphasize that something seems to be in a very unstable situation or position.,[VERB],"Three of the hotels are in receivership, and others are teetering on the brink of bankruptcy",[동사],She teetered after him in her high-heeled shoes.,teeter,,,,
facetious,"경박한, 까부는",（尤指不问场合）好开玩笑的；滑稽的，诙谐的,,/fəˈsiːʃəs/,,"flip, glib, frivolous, tongue-in-cheek, waggish, whimsical, joking, jokey, jesting, jocular, playful, roguish, impish, teasing, arch, mischievous, puckish","From French facétieux, from Latin facētia (“jest, wit, humor”), from facētus (“witty, jocose, facetious”).
","If you say that someone is being facetious, you are criticizing them because they are making humorous remarks or saying things that they do not mean in a situation where they ought to be serious.",[ADJ],"The woman eyed him coldly. 'Don't be facetious,' she said.",[형용사],a facetious comment/remark,facetious,,,"jesting, joking, amusing, comical, funny, humorous ",serious  solemn
adroit,(특히 대인 관계에서) 노련한,精明的；干练的；机敏的；灵巧的,,/əˈdrɔɪt/,,"adept, dexterous, deft, agile, nimble, nimble-fingered, handy","Borrowed from French adroit, from French à (“on the; to”) (from Old French a (“to; towards”), from Latin ad (“to; towards”), from Proto-Indo-European *ád (“at; near”)) + French droit (“right”) (from Old French droit, dreit, from Vulgar Latin *drēctus, syncopated form of Latin dīrectus (“laid straight; direct, straight; level; upright”), perfective passive participle of dīrigō (“to lay straight”), from dis- (“apart, in two”) (from Proto-Indo-European *dwís (“twice; in two”)) + regō (“to govern, rule; to guide, steer”) (ultimately from Proto-Indo-European *h₃réǵeti (“to be straightening, setting upright”))).
","Someone who is adroit is quick and skilful in their thoughts, behaviour, or actions.",[ADJ],She is a remarkably adroit and determined politician.,[형용사],an adroit negotiator,adroit,,,"apt, clever, deft, dexterous, proficient, skillful ",inept
terse,(예의에 어긋날 정도로) 간결한[간단한],简短生硬的；简要的,,/təːs/,,"brusque, abrupt, clipped, blunt, gruff, short, brief, concise, succinct, to the point, compact, crisp, pithy, incisive, short and sweet, economical, laconic, epigrammatic, summary, condensed","From Latin tersus (“clean, cleansed, rubbed or wiped off; neat, spruce; terse”), perfect passive participle of tergō, tergeō (“to clean, cleanse, rub, wipe, wipe off”),[1] from Proto-Indo-European *terh₁- (“to rub; to turn”).
",A terse statement or comment is brief and unfriendly.,[ADJ],"He issued a terse statement, saying he is discussing his future with colleagues before announcing his decision on Monday",[형용사],a terse style,terse,,,"abrupt, brusque, curt, pithy, short, brief, compact, concise, epigrammatic, succinct ",verbose  discursive
confide,(비밀을) 털어놓다,吐露，倾诉（秘密）,,/kənˈfʌɪd/,,"disclose, divulge, leak, lay bare, make known, betray, impart, pass on, proclaim, announce, report, declare, intimate, uncover, unmask, expose, bring out into the open, unfold, vouchsafe, tell","From Latin confīdō (“I trust fully, I am assured, confide, rely”), from con- (“together”) + fīdō (“I trust”); see faith, fidelity.
","If you confide in someone, you tell them a secret.",[VERB],I knew she had some fundamental problems in her marriage because she had confided in me a year earlier,[동사],[VN] She confided all her secrets to her best friend.,confide,,"believe, depend on, trust, disclose, divulge, reveal ",,mistrust  withhold
authoritarian,"권위주의적인, 독재적인",独裁的；专制的,,/ɔːˌθɒrɪˈtɛːrɪən/,,"dictatorial, totalitarian, despotic, tyrannical, autarchic, draconian, absolute, arbitrary, oppressive, repressive, illiberal, undemocratic, anti-democratic","Circa 1880 authority +‎ -arian
","If you describe a person or an organization as authoritarian, you are critical of them controlling everything rather than letting people decide things for themselves.",[ADJ],Senior officers could be considering a coup to restore authoritarian rule.,[형용사],an authoritarian regime/government/state,authoritarian,"disciplinarian, dictator, fascist, tyrant ",,"austere, harsh, inflexible, strict ",anarchist  lenient
deluge,"폭우, 호우",暴雨；洪水,,/ˈdɛljuːdʒ/,,"flash flood, torrent","From Middle English deluge, from Old French deluge, alteration of earlier deluvie, from Latin dīluvium, from lavō (“wash”)
",A deluge of things is a large number of them which arrive or happen at the same time.,[NOUN],A deluge of manuscripts began to arrive in the post,[명사],,deluge,"deluge, inundation, overflow, cascade, downpour, stream, torrent ","drench, inundate, submerge, swamp, wash, glut, overwhelm, saturate ",,"drought, trickle, sprinkle  empty"
millennium,(특히 예수 탄생을 기준으로 그 전후의) 천년,一千年，千周年；千周年纪念日,,/mɪˈlɛnɪəm/,,,"From Late Latin millennium, from Latin mīlle (“thousand”) + -ennium (from annus (“year”)).
","A millennium is a period of one thousand years, especially one which begins and ends with a year ending in `000', for example the period from the year 1000 to the year 2000.",[NOUN],,[명사],the second millennium AD,millennium,,,,
anecdote,일화,（尤指关于某人的）趣闻，轶事,,/ˈanɪkdəʊt/,,"tale, narrative, sketch","Late 17th c., from French anecdote, from Ancient Greek ἀνέκδοτος (anékdotos, “accounts unpublished”), from ἀν- (an-, “not, un-”) + ἔκδοτος (ékdotos, “published”), from ἐκδίδωμι (ekdídōmi, “I publish”), from ἐκ- (ek-, “out”) + δίδωμι (dídōmi, “I give”).
","An anecdote is a short, amusing account of something that has happened.",[NOUN],,[명사],amusing anecdotes about his brief career as an actor,anecdote,"account, narrative, story, tale  yarn",,,
annuity,연금,（通常指一直付到某人死亡的）年金；年金保险；年金保险投资,,/əˈnjuːɪti/,,"pocket money, sum of money, remittance, contribution, consideration, handout, grant, subsidy, maintenance, financial support, subsistence, benefit, stipend, pension, annuity, keep, upkeep, expenses","From French annuité, from Medieval Latin annuitās, from Latin annuus (“annual”).
",An annuity is an investment or insurance policy that pays someone a fixed sum of money each year.,[NOUN],,[명사],,annuity,"hire, salary, wages, compensation, premium, recompense, reimbursement, restitution, disbursement, expenditure, expense, reprisal, retaliation, retribution  vengeance",,,
cogent,설득력 있는,（论据或理由）令人信服的，有说服力的，强而有力的,,/ˈkəʊdʒ(ə)nt/,,"compelling, strong, forceful, powerful, potent, weighty","From Latin cōgēns, present active participle of cōgō (“drive together, compel”), from cō + agō (“drive”).
","A cogent reason, argument, or example is strong and convincing.",[ADJ],There were perfectly cogent reasons why Julian Cavendish should be told of the Major's impending return.,[형용사],She put forward some cogent reasons for abandoning the plan.,cogent,,,"convincing, forceful, influential, persuasive, powerful ",implausible
zeal,"열의, 열성",热忱，热情；激情,,/ziːl/,,"zealousness, committedness, ardour, love, fervour, fire, avidity, fondness, devotion, devotedness, enthusiasm, eagerness, keenness, appetite, taste, relish, gusto","From Middle English zele, from Old French zel, from Late Latin zēlus, from Ancient Greek ζῆλος (zêlos, “zeal, jealousy”), from ζηλόω (zēlóō, “to emulate, to be jealous”). Related to jealous.
","Zeal is great enthusiasm, especially in connection with work, religion, or politics.",[NOUN],his zeal for teaching,[명사],her missionary/reforming/religious/political zeal,zeal,"ardor, enthusiasm, fervor, intensity, vigor, zest ",,,apathy
engaging,"호감이 가는, 매력적인",令人愉快的；有吸引力的；迷人的,,/ɪnˈɡeɪdʒɪŋ/,,"appealing, attractive, pretty, delightful, lovely, pleasing, pleasant, agreeable, likeable, lovable, sweet, winning, winsome, fetching, dazzling, arresting, captivating, enchanting, bewitching, alluring, irresistible, dreamy, heavenly, divine, gorgeous",,"An engaging person or thing is pleasant, interesting, and entertaining.",[ADJ],one of her most engaging and least known novels,[형용사],an engaging smile,engaging,,," attractive, charming, likeable, pleasant, winning ",loathsome
egress,"떠남, 나감",出，外出；出口，出路,,/ˈiːɡrɛs/,,"leaving, exit, withdrawal, retreat, pull-out, exodus, issue",,Also called : egression the act of going or coming out; emergence,[NOUN],,[명사],,egress,"door, exit, outlet, departure, emergence ",,,entrance
legible,"읽을[알아볼] 수 있는, 또렷한",（笔迹或字体）清晰的，易读的，清楚的,,/ˈlɛdʒɪb(ə)l/,,"easily read, easy to read, decipherable, easily deciphered, clear, distinct, plain, carefully written, neat, sharp, vivid, intelligible, understandable, comprehensible","From Late Latin legibilis (“that can be read”), from Latin legō
",Legible writing is clear enough to read.,[ADJ],My handwriting isn't very legible.,[형용사],legible handwriting,legible,,,"clean, clear, neat, plain, readable",illegible
hegemonic,"지배하는, 패권을 장악한",霸权的；统治的,,/ˌhɛdʒɪˈmɒnɪk/,,,"hegemony +‎ -ic
","Hegemony is a situation in which one country, organization, or group has more power, control, or importance than others.",[NOUN],,[형용사],,hegemonic,,,,
verbose,장황한,啰嗦的；冗长的，累赘的,,/vəːˈbəʊs/,,"loquacious, garrulous, talkative, voluble, orotund, expansive, babbling, blathering, prattling, prating, jabbering, gushing, effusive","From Latin verbosus.
","If you describe a person or a piece of writing as verbose, you are critical of them because they use more words than are necessary, and so make you feel bored or annoyed.",[ADJ],verbose politicians,[형용사],a verbose speaker/style,verbose,,," prolix, voluble, wordy, garrulous, loquacious, talkative, effusive, grandiloquent, profuse, tautological ","succinct, reserved  concise"
ingratiate,환심을 사다,讨好;巴结;迎合,记忆技巧：in 使… + grat 令人高兴的；高雅 + iate 做 → 使高兴 → 讨好,/ɪnˈɡreɪʃɪeɪt/,,"find the favour of, cultivate, win over, get on the good side of, get in someone's good books","First attested in 1622. From Italian ingraziare, from ingratiare, from in gratia, from Latin in grātiam (“into favour”), from grātus.
","If someone tries to ingratiate themselves with you, they do things to try and make you like them.",[VERB],Many politicians are trying to ingratiate themselves with her.,[동사],The first part of his plan was to ingratiate himself with the members of the committee.,ingratiate,,"cajole, court, curry favor, flatter, toady  wheedle",,
meander,구불구불하다,（河流、道路等）蜿蜒，迂回曲折,,/mɪˈandə/,,"wind, twist, turn, curve, curl, bend, snake","From Latin Maeander, from Ancient Greek Μαίανδρος (Maíandros) – a river in Asia Minor (present day Turkey) known for its winding course. (Turkish Büyük Menderes Nehri)
","If a river or road meanders, it has a lot of bends, rather than going in a straight line from one place to another.",[VERB],roads that meandered round the edges of the fields,[동사],The stream meanders slowly down to the sea.,meander,,"bend, snake, twist, wind, zigzag, amble, mosey, promenade, saunter, stroll, wander ",,march
prodigal,(돈·시간·에너지·물자를) 낭비하는,非常浪费的，奢侈的,,/ˈprɒdɪɡ(ə)l/,,"extravagant, spendthrift, improvident, imprudent, immoderate, profligate, thriftless, excessive, intemperate, irresponsible, self-indulgent, reckless, wanton","From Middle French prodigal, from Late Latin prōdigālis (“wasteful”), from Latin prōdigus (“wasteful, lavish, prodigal”), from prōdigere (“to consume, squander, drive forth”), from prōd- [from prō (“before, forward”)] + agere (“to drive”).
","You can describe someone as a prodigal son or daughter if they leave their family or friends, often after a period of behaving badly, and then return at a later time as a better person.",[ADJ],All the family went to the airport to welcome home the prodigal son.,[형용사],,prodigal,"profligate, spendthrift, squanderer, wastrel ",,"excessive, extravagant, immoderate, wasteful",frugal
cautery,[U] [의학] 소작(법); 뜸술; [C] 소작제; 소작기,烧灼术；烙术；灸;腐蚀剂；烙器,,/ˈkɔːt(ə)ri/,,,,the coagulation of blood or destruction of body tissue by cauterizing,[NOUN],,[명사],,cautery,,,,
indelible,잊을[지울] 수 없는,洗不掉的；无法去除的,,/ɪnˈdɛlɪb(ə)l/,,"inerasable, ineffaceable, unexpungeable, indestructible, permanent, lasting, persisting, enduring, stubborn, ingrained, unfading, imperishable","From Latin indelebilis (“indestructible”).
","If you say that something leaves an indelible impression, you mean that it is very unlikely to be forgotten.",[ADJ],My visit to India in 1986 left an indelible impression on me,[형용사],The experience made an indelible impression on me.,indelible,"fast, lasting, memorable, permanent, unforgettable ",,,temporary
inscrutable,(사람·표정이) 불가해한[헤아리기 어려운],（尤指人或其表情）高深莫测的，难以捉摸的,,/ɪnˈskruːtəb(ə)l/,,"unreadable, impenetrable, mysterious, impossible to interpret, cryptic","From the Latin inscrutabilis, from in- (“not”) + scrutare (“to examine”), corresponding to in- +‎ scrutable
","If a person or their expression is inscrutable, it is very hard to know what they are really thinking or what they mean.",[ADJ],In public he remained inscrutable.,[형용사],,inscrutable,,,"enigmatic, impenetrable, insoluble, mysterious, perplexing, unfathomable",comprehensible
beneficent,"도움을 주는, 선을 베푸는; 친절한",行善的；慈善的,,/bɪˈnɛfɪs(ə)nt/,,"charitable, altruistic, humane, humanitarian, neighbourly, public-spirited, philanthropic","From Latin *beneficens, *beneficent-, from bene (“well, good”) + -ficens, combining form from faciens, present participle of facere (“to make or do”). Compare English beneficence.
",A beneficent person or thing helps people or results in something good.,[ADJ],optimism about the beneficent effects of new technology.,[형용사],,beneficent,,,"charitable, generous, munificent, unselfish, advantageous, beneficial, helpful  valuable",
caustic,"가성의, 부식성의",苛性的，腐蚀性的,,/ˈkɔːstɪk/,,"corroding, mordant, acid, alkaline, burning, stinging, acrid, harsh, destructive","From the Latin causticus (“burning”), from the Ancient Greek καυστικός (kaustikós, “burning”).
",Caustic chemical substances are very powerful and can dissolve other substances.,[ADJ],caustic cleaning agents,[형용사],,caustic,,,"acrimonious, biting, harsh, sarcastic, scathing, astringent, burning, corrosive ",kind  mild
volatile,변덕스러운,不稳定的；易变的；易怒的，喜怒无常的,,/ˈvɒlətʌɪl/,,"vaporous, vaporescent","From Middle French volatile, from Latin volātilis (“flying; swift; temporary; volatile”), from volō (“I fly”).
",A situation that is volatile is likely to change suddenly and unexpectedly.,[ADJ],The international oil markets have been highly volatile since the early 1970s,[형용사],a highly volatile personality,volatile,,,"eruptive, explosive, inflammatory, volcanic, changeable, inconstant, unstable, variable, erratic, impulsive, irresolute, evanescent, gaseous, vaporous ",stable  steady
androgen,"안드로겐, 남성호르몬",雌雄同体的;兼具两性的,,/ˈandrədʒ(ə)n/,,,"From andro- +‎ -gen.
","any of several steroids, produced as hormones by the testes or made synthetically, that promote development of male sexual organs and male secondary sexual characteristics",[NOUN],,[명사],,androgen,,,,
androgynous,양성(兩性)의 특징을 가진; 중성 같은,没有明显性别区分的；男女不分的；兼有两性特征的,,/anˈdrɒdʒɪnəs/,,"intersex, epicene","From Latin androgynus (“hermaphrodite”), from Ancient Greek ἀνδρόγυνος (andrógunos, “eunuch”), from ἀνδρός (andrós) (genitive of ἀνήρ (anḗr, “man”)) + γυνή (gunḗ, “woman”) + -ous.
","In biology, an androgynous person, animal, or plant has both male and female sexual characteristics.",[ADJ],,[형용사],,androgynous,,,,
euphony,"듣기 좋은 음조(opp. cacophony); [언어] 활(滑)음조, 음운 변화",和谐的声音，悦耳之音,记忆技巧：eu 好 + phon 声音，嗓音；讲话 + y 表名词 → 好听的声音,/ˈjuːf(ə)ni/,,"mellowness, sweetness, sweet sound, sweet tone, prettiness, silveriness, mellifluousness, melodiousness, musicality, lilt, lyricism, harmony, euphony","eu- (“good”) + -phony, from Middle French euphonie, from Late Latin euphonia, from Ancient Greek εὐφωνία (euphōnía), from εὔφωνος (eúphōnos).
","the alteration of speech sounds, esp by assimilation, so as to make them easier to pronounce",[NOUN],,[명사],,euphony,,,,
rejuvenate,"다시 젊어 보이게[젊은 기분이 들게] 하다, 활기를 되찾게 하다",使年轻；使恢复活力；使青春焕发,,/rɪˈdʒuːvəneɪt/,,"revitalize, renew, regenerate, restore, breathe new life into, make someone feel young again, revivify, reanimate, resuscitate, refresh, reawaken, rekindle, put new life into, put new heart into, add some zest to, put some spark into, kick-start, uplift","re- (“again”) +‎ Latin iuvenis (“young”)  +‎ -ate
","If something rejuvenates you, it makes you feel or look young again.",[VERB],Shelley was advised that the Italian climate would rejuvenate him,[동사],,rejuvenate,,"invigorate, renew, restore, revitalize, revive ",,fatigue
obloquy,악평,公开的严厉批评（或责骂）,,/ˈɒbləkwi/,,"opprobrium, vituperation, condemnation, castigation, denunciation, abuse, criticism, censure, flak, defamation, denigration, disparagement, derogation, slander, revilement, reviling, calumny, calumniation, execration, excoriation, lambasting, upbraiding, bad press, character assassination, attack, invective, libel, insults, aspersions","From Late Latin obloquium (“contradiction”), from Latin obloquor (“speak against, contradict”).
","defamatory or censorious statements, esp when directed against one person",[NOUN],,[명사],,obloquy,"censure, denunciation, rebuke, disgrace, humiliation, ignominy, shame",,,praise  honor
disclaim,"(무엇에 대해 모르거나 책임이 없다고) 말하다, (책임 등을) 부인하다",声明拒绝承担（责任）；否认,,/dɪsˈkleɪm/,,"refuse to accept, refuse to acknowledge, reject, wash one's hands of","From Anglo-Norman disclaimer, from Old French desclamer (French: déclamer), des- + clamer.
","If you disclaim knowledge of something or disclaim responsibility for something, you say that you did not know about it or are not responsible for it.",[VERB],She disclaims any knowledge of her husband's business.,[동사],She disclaimed any knowledge of her husband’s whereabouts.,disclaim,," deny, disavow, forswear, renounce, repudiate",,admit
bemoan,한탄하다,抱怨；悲叹,,/bɪˈməʊn/,,"bewail, deplore, complain about, express regret about","From Middle English bemenen, bimenen, from Old English bemǣnan (“to bemoan, bewail, lament”); equivalent to be- (“about, concerning”) +‎ moan. Alteration of vowel from Middle to Modern English due to analogy with moan.
","If you bemoan something, you express sorrow or dissatisfaction about it.",[VERB],Universities and other research establishments bemoan their lack of funds.,[동사],They sat bemoaning the fact that no one would give them a chance.,bemoan,,"bewail, lament, mourn, regret, rue ",,celebrate
disburse,(특정 목적을 위해 모은 돈에서) 지출하다,拨（款）；拿出（一部分资金）,,/dɪsˈbəːs/,,"lay out, spend, expend, dole out, hand out, part with, donate, give","From Old French desbourser (modern: débourser). Equivalent to dis- +‎ burse (“purse”).
","To disburse an amount of money means to pay it out, usually from a fund which has been collected for a particular purpose.",[VERB],The aid will not be disbursed until next year,[동사],,disburse,,"allocate, dispense, distribute, dole out, issue ",,collect
preponderance,(수적으로) 우세함[더 많음],优势；多数,,/prɪˈpɒnd(ə)r(ə)ns/,,"predominance, dominance","From Latin praeponderare (“outweigh”), from prae- (“before”) + ponderare (“to weigh”)
","If there is a preponderance of one type of person or thing in a group, there is more of that type than of any other.",[NOUN],"a preponderance of bright, middle-class children in one group.",[명사],,preponderance,,,,
tendentious,"과격한, 극단적인",（演讲或文章）有强烈倾向的；有偏见的,,/tɛnˈdɛnʃəs/,,"disputed, contended, at issue, moot, disputable, debatable, arguable, vexed, open to discussion, open to question, under discussion","From tendency +‎ -ious, after German tendenziös.
","Something that is tendentious expresses a particular opinion or point of view very strongly, especially one that many people disagree with.",[ADJ],His analysis was rooted in a somewhat tendentious reading of French history.,[형용사],"to display artistic, etc. tendencies",tendentious,,,,
plethora,"과다, 과잉",过多，过剩,,/ˈplɛθ(ə)rə/,,"lot, mass, host, plenitude, cornucopia, riot","From Late Latin plēthōra (earlier plētūra), from Ancient Greek πληθώρη (plēthṓrē, “fullness”), from πλήθω (plḗthō, “I fill”).
","A plethora of something is a large amount of it, especially an amount of it that is greater than you need, want, or can cope with.",[NOUN],A plethora of new operators will be allowed to enter the market.,[명사],,plethora,"plenty, profusion, excess, glut, plethora, surfeit, affluence, opulence, prosperity, wealth ",,,dearth  poverty
dissipated,방탕한,放荡的，花天酒地的,,/ˈdɪsɪpeɪtɪd/,,"debauched, decadent, intemperate, immoderate, profligate, abandoned, self-indulgent, wild, unrestrained, fast-living",,"If you describe someone as dissipated, you disapprove of them because they spend a lot of time drinking alcohol and enjoying other physical pleasures, and are probably unhealthy because of this.",[ADJ],"Flynn was still handsome, though dissipated.",[형용사],"[V] Eventually, his anger dissipated.",dissipated,,"deplete, squander, waste, dispel, disperse, scatter, disappear, evanesce, evaporate, vanish ",,"conserve, gather  appear"
myriad,"무수함, 무수히 많음",无数，极大数量,记忆技巧：myri 一万，无数 + ad 表状态 → 无数（的）,/ˈmɪrɪəd/,,"a great number, a great quantity, a large number, a large quantity, a lot, scores, quantities, mass, crowd, throng, host, droves, horde, army, legion, sea, swarm","From French myriade, from Late Latin myriadis (genitive of myrias), from Ancient Greek μυριάδος (muriádos), genitive of μυριάς (muriás, “number of 10,000”), from μυρίος (muríos, “numberless, countless, infinite”).
",A myriad or myriads of people or things is a very large number or great variety of them.,[NOUN],They face a myriad of problems bringing up children,[명사],Designs are available in a myriad of colours.,myriad,"abundance, profusion, scores, thousands, horde, host, multitude, throng ",,"countless, incalculable, infinite, innumerable, untold ",scarcity  few
bleak,"암울한, 절망적인",（地方）荒凉的；凄凉的,,/bliːk/,,"exposed, desolate, stark, arid, desert, denuded, lunar, open, empty, windswept",,"If a situation is bleak, it is bad, and seems unlikely to improve.",[ADJ],The immediate outlook remains bleak,[형용사],a bleak outlook/prospect,bleak,,,"dismal, dreary, gloomy, grim, hopeless, bare, barren, desolate, lonely ",bright
amiable,"쾌활한, 정감 있는",和蔼可亲的，亲切的；令人愉悦的；友好的,,/ˈeɪmɪəb(ə)l/,,"affable, amicable, cordial","Middle English amyable, from Old French amiable, from Late Latin amīcābilis (“friendly”), from Latin amīcus (“friend”), from amō (“I love”). The meaning has been influenced by French aimable, Latin amābilis (“loveable”). Compare with amicable, amorous, amability.
",Someone who is amiable is friendly and pleasant to be with.,[ADJ],,[형용사],an amiable tone of voice,amiable,,,"agreeable, congenial, friendly, good-natured, likeable, pleasant ",mean
proclivity,(흔히 좋지 못한) 성향,癖性；（尤指坏的）倾向,,/prəˈklɪvɪti/,,"inclination, tendency, leaning, disposition, propensity, bent, bias, penchant, predisposition, predilection, partiality, preference, taste, fondness, weakness, proneness","From Latin prōclīvitās, from pro (“toward”) + clīvus (“a slope, hill”).
","A proclivity is a tendency to behave in a particular way or to like a particular thing, often a bad way or thing.",[NOUN],He was indulging his own sexual proclivities.,[명사],his sexual/criminal proclivities,proclivity,"affinity, bent, inclination, penchant, predilection, propensity, tendency ",,,aversion
oscillate,(감정·행동이 양극을) 계속 오가다,来回摆动；震动；震荡,,/ˈɒsɪleɪt/,,"sway, swing from side to side, swing back and forth, swing backwards and forwards, swing to and fro, vibrate","From Latin ōscillātus, perfect passive participle of Latin ōscillō (“swing”), from ōscillum (“a swing”), usually identified with ōscillum (“a little face or mask hung to a tree and swaying with the wind”), diminutive of ōs (“mouth, face”).
","If an object oscillates, it moves repeatedly from one position to another and back again, or keeps getting bigger and smaller.",[VERB],I checked to see if the needle indicating volume was oscillating.,[동사],Her moods oscillated between depression and elation.,oscillate,,"seesaw, swing, turn, vibrate, fluctuate, vacillate, vary  waver",,
facsimile,"복제, 복사",（尤指文件的）摹本，复制本,,/fakˈsɪmɪli/,,"reproduction, duplicate, photocopy, mimeograph, mimeo, replica, likeness, carbon, carbon copy, print, reprint, offprint, image","From Latin fac simile (“make like”), from fac (“make”) (imperative of facere (“make”)) + simile (neuter of similis (“like, similar”)).
",A facsimile of something is an copy or imitation of it.,[NOUN],a facsimile edition of Beethoven's musical manuscripts.,[명사],a facsimile edition,facsimile,"copy, duplicate, imitation, reproduction ",,,original
affable,"상냥한, 사근사근한",和蔼可亲的；友善的；容易交谈的,,/ˈafəb(ə)l/,,"amiable, genial, congenial, cordial, warm, pleasant, pleasing, nice, likeable, personable, charming, agreeable, sympathetic, benevolent, benign, good-humoured, good-natured, kindly, kind, courteous, civil, gracious, approachable, accessible, amenable, sociable, outgoing, gregarious, convivial, jovial, clubbable, comradely, neighbourly, welcoming, hospitable, obliging, easy-going, informal, open, communicative, unreserved, uninhibited, natural, relaxed, easy","French affable, Latin affābilis, from affor (“I address”), from ad + for (“speak, talk”). See fable.
",Someone who is affable is pleasant and friendly.,[ADJ],Mr Brooke is an extremely affable and approachable man.,[형용사],,affable,,,"amiable, congenial, cordial, friendly, pleasant, sociable",disagreeable
conciliate,"달래다, 회유하다",安抚；抚慰；调停；和解,,/kənˈsɪlɪeɪt/,,"placate, pacify, mollify, propitiate, assuage, calm down, soothe, humour, reconcile, disarm, win over, make peace with","Borrowed from Latin conciliātus, perfect passive participle of conciliō (“I unite”), from concilium (“council, meeting”).
","If you conciliate someone, you try to end a disagreement with them.",[VERB],"His duty was to conciliate the people, not to provoke them",[동사],,conciliate,,,,
effluence,"(광선·전기·액체 등의) 내뿜음, 발산, 방출, 흘러나옴(outflow)",发（射，流）出；流出物；射出物,记忆技巧：ef 出，外 + flu 流 + ence 表行为 → 流出,/ˈɛflʊəns/,,"emission, release, outflow, outflowing, outpouring, outrush, rush, flood, deluge, spurt, jet, cascade, stream, torrent, gush","From French effluence, from Latin effluentia.
",the act or process of flowing out,[NOUN],,[명사],,effluence,,,,
culprit,범인,过失者；责任人,,/ˈkʌlprɪt/,,"offender, wrongdoer, person responsible","From Anglo-Norman cul. prit, contraction of culpable: prest (d'averrer nostre bille) 'guilty: ready (to prove our case)', words used by prosecutor in opening a trial, mistaken in English for an address to the defendant. See culpable.
","When you are talking about a crime or something wrong that has been done, you can refer to the person who did it as the culprit.",[NOUN],All the men were being deported even though the real culprits in the fight have not been identified.,[명사],The police quickly identified the real culprits.,culprit,"criminal, guilty party, malefactor, miscreant  offender",,,
defile,(신성하거나 중요한 것을) 더럽히다,玷污，亵渎，糟蹋,,/dɪˈfʌɪl/,,"sully, mar, impair, debase, degrade","From French défilé.
",To defile something that people think is important or holy means to do something to it or say something about it which is offensive.,[VERB],He had defiled the sacred name of the Holy Prophet.,[동사],Many victims of burglary feel their homes have been defiled.,defile,,"befoul, besmirch, dirty, spoil, blemish, smear, soil, stain, tarnish, debase, debauch, degrade, disgrace, dishonor, desecrate, profane, violate ",,"purify, cleanse, honor  consecrate"
graphite,"그래파이트, 흑연",石墨,,/ˈɡrafʌɪt/,,,"Borrowed from German Graphit (A. G. Werner 1789), from Ancient Greek γράφω (gráphō, “I write”).
",Graphite is a soft black substance that is a form of carbon. It is used in pencils and electrical equipment.,[NOUN],,[명사],,graphite,,,,
circumlocution,에둘러[우회적으로] 말하기,（尤指对不好的事情的）迂回曲折的说法；婉转语，遁词,,/ˌsəːkəmləˈkjuːʃ(ə)n/,,"circuitousness, indirectness","From Latin circumlocūtiō (“the act of speaking around; circumlocution, periphrasis”). Surface analysis circum- (“around”) +‎ locution (“talk”); see these for related terms. Probably a calque of Ancient Greek περίφρασις (períphrasis, “periphrasis”).
",A circumlocution is a way of saying or writing something using more words than are necessary instead of being clear and direct.,[NOUN],,[명사],"Without circumlocution, your offer is stupid.",circumlocution,"digression, rambling, tautology, vagueness, verbiage, verbosity ",,,directness
monarchy,군주제,君主国,,/ˈmɒnəki/,,"sovereignty, autocracy, monocracy, absolutism, absolute power, despotism","From Old French monarchie, from Late Latin monarchia, from Ancient Greek μοναρχία (monarkhía), from μόνος (mónos, “only”) + ἀρχή (arkhḗ, “power, authority”).
",A monarchy is a system in which a country has a monarch.,[NOUN],a serious debate on the future of the monarchy.,[명사],plans to abolish the monarchy,monarchy,,,,
dignitary,고위 관리,要人，显要人物，要员,,/ˈdɪɡnɪt(ə)ri/,,"important person, VIP, very important person, notable, notability, worthy, personage, luminary, public figure, pillar of society, leading light, leader, panjandrum",,Dignitaries are people who are considered to be important because they have a high rank in government or in the Church.,[NOUN],,[명사],,dignitary,"celebrity, dignitary, notable, star, celestial body, orb, star  sun",,,
dystrophy,영양 실조[장애],营养障碍性疾病,记忆技巧：dys 不良 + troph 营养 + y 表情况 → 营养不良,/ˈdɪstrəfi/,,,"dys- +‎ -trophy
",→ see muscular dystrophy,[etc.],,(병리·생물),,dystrophy,,,,
