word,ko,zh_Hans,etym_zh_Hans,pron,ant,syn,etym,en,pof,example,pof_ko,example_ko,word2,syn_n,syn_v,syn_a,ant2
chicanery,교묘한 속임수,诡辩；诡计；欺诈,,/ʃɪˈkeɪnəri/,,"deception, deceit, deceitfulness, duplicity, dishonesty, unscrupulousness, underhandedness, subterfuge, fraud, fraudulence, legerdemain, sophistry, sharp practice, skulduggery, swindling, cheating, duping, hoodwinking","From French chicanerie (“trickery”), from chicaner.
",Chicanery is using cleverness to cheat people.,[NOUN],,[명사],,chicanery,"deceit, dishonesty, duplicity, falsehood, fraud, lying, betrayal, treachery, treason, artifice, craftiness, cunning, guile, subterfuge, bluff, hoax, ploy, pretense, ruse ",,,"honesty, loyalty  sincerity"
depraved,(도덕적으로) 타락한[부패한],道德败坏的，堕落的，恶毒的,,/dɪˈpreɪvd/,,"corrupted, perverted, deviant, degenerate, debased, degraded, immoral, unprincipled, reprobate",,"Depraved actions, things, or people are morally bad or evil.",[ADJ],a disturbing and depraved film,[형용사],This is the work of a depraved mind.,depraved,,"adulterate, corrupt, debase, debauch, pervert, taint ",,elevate
hike,(가격경비 등의) 대폭 인상[급등],(价格、花费等的)大幅度提高，猛增；把(价格、税率等)大幅提高,,/hʌɪk/,,"trek, tramp, trudge, traipse, slog, footslog, plod, march, journey on foot","From English dialectal hyke (“to walk vigorously”), probably a Northern form of hitch, from Middle English hytchen, hichen, icchen (“to move, jerk, stir”). Cognate with Scots hyke (“to move with a jerk”), German dialectal hicken (“to hobble, walk with a limp”), Danish hinke (“to hop”). More at hick.
","A hike is a long walk in the country, especially one that you go on for pleasure.",[NOUN],He hiked up his trousers and waded into the water.,[명사],They went on a ten-mile hike through the forest.,hike,"excursion, march, trek, walk, escalation, increase, jump, rise ","march, ramble, traipse, tramp, wander, escalate, increase, raise ",,decrease
distaste,"불쾌감, 혐오감",厌恶，讨厌，不喜欢,,/dɪsˈteɪst/,,"disfavour, disdain","dis- +‎ taste
","If you feel distaste for someone or something, you dislike them and consider them to be unpleasant, disgusting, or immoral.",[NOUN],He professed a distaste for everything related to money.,[명사],He looked around the filthy room in distaste.,distaste,,,"bothersome, distasteful, unpleasant, disgusting, nasty, repulsive, unpalatable, cranky, ill-tempered, obnoxious, offensive, rude ","pleasant, attractive  amiable"
peruse,숙독[정독]하다,随便翻阅；浏览,,/pəˈruːz/,,"flick, flip, skim, browse, glance, look, riffle","From per- +‎ use, from either Medieval Latin (peruti, perusitare (“wear out”)) or Anglo-Norman (peruser (“use up”)), originally leading to two concurrent meanings, but only those derived from ""to examine"" survive today.
","If you peruse something such as a letter, article, or document, you read it.",[VERB],We perused the company's financial statements for the past five years,[동사],A copy of the report is available for you to peruse at your leisure.,peruse,,"cover, read, scan, scrutinize  study",,
fusillade,연속 사격; 빗발치는 것,（子弹的）齐射，连发,,/ˌfjuːzɪˈleɪd/,,"volley, barrage, bombardment, cannonade, battery, burst, blast, hail, shower, rain, stream, broadside, blitz, discharge","From French fusillade, from fusiller (“shoot with a firearm”), from fusil (“rifle, gun”)
",A fusillade of shots or objects is a large number of them fired or thrown at the same time.,[NOUN],Both were killed in a fusillade of bullets fired at close range.,[명사],a fusillade of bullets/stones,fusillade,,,,
riposte,(특히 비판에 대한 기지 있는) 응수[반격],机敏的回答；巧妙的应对,,/rɪˈpɒst/,,"counter, rejoinder, sally, return, retaliation, answer, reply, response","From French riposte, taken from Italian risposta, a derivative of the verb rispondere, ""to respond"".
","A riposte is a quick, clever reply to something that someone has said.",[NOUN],"Laura glanced at Grace, expecting a cheeky riposte.",[명사],a witty riposte,riposte,,,,
conjecture,추측(한 내용),推测；猜测；猜想；臆断,,/kənˈdʒɛktʃə/,,"speculation, surmise, fancy, notion, belief, suspicion, presumption, assumption, theory, hypothesis, postulation, supposition","From Old French, from Latin coniectūra (“a guess”), from coniectus, perfect passive participle of cōniciō (“throw or cast together; guess”), from con- (“together”) + iaciō (“throw, hurl”); see jet. Compare adjective, eject, inject, project, reject, subject, object, trajectory.
",A conjecture is a conclusion that is based on information that is not certain or complete.,[NOUN],"That was a conjecture, not a fact",[명사],The truth of his conjecture was confirmed by the newspaper report.,conjecture,"conjecture, speculation, surmise, forecast, prediction, prophecy, hypothesis, inference, postulate, theory, assumption, estimation, idea, presumption "," forecast, prophesy, believe, imagine, suggest, venture, assume, infer, presume, suppose, suspect ",,"know, certainty  fact"
mercurial,변덕스러운,多变的，反覆无常的,,/məːˈkjʊərɪəl/,,"capricious, temperamental, excitable, fickle, changeable, unpredictable, variable, protean, mutable, erratic, quicksilver, inconstant, inconsistent, unstable, unsteady, fluctuating, ever-changing, kaleidoscopic, fluid, wavering, vacillating, moody, flighty, wayward, whimsical, giddy, impulsive","The annual mercury (Mercurialis annua), one of the varieties of mercurial (noun sense 1)A sample of a mercurial (noun sense 3), in this case a compound with the molecular formula Ag2HgI4An 18th-century jar used for storing mercurials (noun sense 4) in the form of pills[n 1]","If you describe someone as mercurial, you mean that they frequently change their mind or mood without warning.",[ADJ],his mercurial temperament.,[형용사],Emily’s mercurial temperament made her difficult to live with.,mercurial,,,"capricious, temperamental, unpredictable, volatile, immediate, instantaneous, sudden",saturnine  gradual
acumen,(일에 대한) 감각,敏锐；精明,,/ˈakjʊmən/,,"awareness, shrewdness, acuity, sharpness, sharp-wittedness, cleverness, brightness, smartness","Borrowed from Latin acūmen (“sharp point”).
",Acumen is the ability to make good judgments and quick decisions.,[NOUN],His sharp business acumen meant he quickly rose to the top.,[명사],business/commercial/financial acumen,acumen,"discernment, insight, intelligence, perception, perspicacity, sagacity, wit ",,,stupidity
